name,host_name,neighbourhood_group,room_type,price_per_minimum_night,review_rate_per_month
"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Jason,Manhattan,Private room,65.0,134.54999999999998
Sleek & Comfortable Soho Apt,Pete,Manhattan,Entire home/apt,39.8,157.38
Spacious Williamsburg Share w/ LOFT BED,Gus,Brooklyn,Private room,17.25,92.66
Cozy 2 br in sunny Fort Greene apt,Sally,Brooklyn,Private room,22.666666666666668,12.95
Cozy East Village Railroad 1 Bed!,Leonardo,Manhattan,Entire home/apt,130.0,416.16
1 Bedroom Loft w/ Private Roof Deck,Alex,Brooklyn,Entire home/apt,97.5,44.85
City Room - Private & Comfy Bedroom,Wayne,Manhattan,Private room,64.0,353.28000000000003
Elegant NYC Pad,Vasili,Queens,Entire home/apt,70.0,2.72
"Clean & bright 1BR in Cobble Hill, GREAT location!",S.M.,Brooklyn,Entire home/apt,79.5,470.64000000000004
"Modern, Large East Village Loft",Ori,Manhattan,Entire home/apt,63.0,401.8
"Great new apt, close to everything",Ana,Manhattan,Entire home/apt,83.33333333333333,90.24
Quiet & Clean Retreat in the City,I,Manhattan,Entire home/apt,79.66666666666667,0.49000000000000005
Stylish Large Gramercy Loft!,R,Manhattan,Entire home/apt,152.5,117.72000000000001
The Brownstone-Luxury 1 Bd Apt/NYC,Simon,Manhattan,Entire home/apt,51.666666666666664,466.20000000000005
PRIVATE Room on Historic Sugar Hill,Agnes,Manhattan,Private room,60.0,2097.64
South Slope Green,Linda,Brooklyn,Private room,67.5,5.46
"17 Flr. Manhattan Views, Nr. Subway",Dave,Manhattan,Private room,17.142857142857142,5.1
"Spacious 1BR, Adorable Clean Quiet",Drica,Manhattan,Entire home/apt,50.0,15.99
"Nice, clean, safe, convenient 3BR",Mark,Queens,Entire home/apt,10.0,0.01
Franklin St Flat in Trendy Greenpoint Brooklyn,Betty,Brooklyn,Entire home/apt,67.5,46.230000000000004
"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Ricardo & Ashlie,Manhattan,Entire home/apt,62.5,3.2399999999999998
One bedroom Apt. in NYC,Leslie,Manhattan,Entire home/apt,8.333333333333334,63.96
"Beautiful, elegant 3 bed SOHO loft",Harrison,Manhattan,Entire home/apt,125.0,93.06
Spacious Greenwich Village Apt,Jessica,Manhattan,Entire home/apt,45.0,1.0
SpaHa Studio Monthly Rental,Blanca,Manhattan,Entire home/apt,4.464285714285714,334.89
City Room - Private Luxury Suite,Wayne,Manhattan,Private room,92.0,343.98
Private Room/bath Luxurious Harlem,Cynthia,Manhattan,Private room,87.5,0.11
The gem of the East Village,Mich,Manhattan,Entire home/apt,49.5,154.94
"Bright and spacious, garden below!",Rachel,Manhattan,Entire home/apt,48.75,0.16
ACCOMMODATIONS GALORE #2,Laurine,Manhattan,Entire home/apt,46.666666666666664,175.5
Colorful Private One Bedroom Apt,Greta,Manhattan,Entire home/apt,67.5,4.2
Huge Chelsea Loft,Frank,Manhattan,Entire home/apt,250.0,11.9
Great room in great location,Bethania,Manhattan,Private room,5.714285714285714,22.1
Exclusive Room with Private Bath in  LES,Tunji,Manhattan,Private room,30.0,307.8
BK Sweet Suite w/Kitchen&FullBath,Colette&Sean,Brooklyn,Entire home/apt,21.666666666666668,547.4
Great East Village Apartment Rental,Brie,Manhattan,Entire home/apt,2.6,32.48
BROWNSTONE SUNDRENCHED BEAUTY,Sheila,Brooklyn,Entire home/apt,33.0,236.42999999999998
A SpeciaL!! Private Room in NY,Lissette,Staten Island,Private room,18.0,357.05
B NYC Staten Alternative...,Lissette,Staten Island,Private room,18.5,211.67999999999998
C Private Room By The Ferry,Lissette,Staten Island,Private room,18.5,302.67
Smallest House In The Village,Olivia,Manhattan,Entire home/apt,58.333333333333336,329.3
Beautiful modern studio apartment in heart of NYC,Daniel,Manhattan,Entire home/apt,22.77777777777778,43.4
Beautiful Landmarked Duplex,Maya,Brooklyn,Entire home/apt,95.0,151.28
BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Scott,Brooklyn,Private room,29.5,320.37
D Private Che@p Room 2 Explore NYC,Lissette,Staten Island,Private room,18.0,1062.27
Safe cute near subway& Manhattan NY NY retro style,Dennis & Naoko,Queens,Entire home/apt,19.8,1984.5
Large and Cozy Private Bedroom,Antonín,Brooklyn,Private room,39.0,20.7
Small tidy bedroom in duplex,Emily,Brooklyn,Private room,4.285714285714286,0.8099999999999999
DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Vie,Bronx,Entire home/apt,52.5,19.0
"Private, Large & Sunny Top Floor Apt  w/W&D",Renée,Brooklyn,Entire home/apt,67.5,592.72
Cottage in the Village,Olivia,Manhattan,Entire home/apt,78.0,197.33999999999997
BEDROOM1 FOR RENT 10min from Manhan,Helene,Brooklyn,Private room,23.333333333333332,14.76
Williamsburg near soho. / loftbed,Kristian & Di,Brooklyn,Private room,3.5294117647058822,1.9600000000000002
BROOKLYN  STUDIO APARTMENT,Niya,Brooklyn,Private room,33.333333333333336,750.51
BEDROOM2 FOR RENT  10min from Manh,Helene,Brooklyn,Private room,17.5,3.96
cozy bedroom in lovely garden apt,Debbie,Brooklyn,Private room,18.333333333333332,177.5
Crown Heights Garden Apt.,Anthony,Brooklyn,Private room,30.0,515.29
Amazing  Sunny & Breezy Home In the Heart of  NYC,Tilly,Manhattan,Entire home/apt,6.428571428571429,0.16
ENJOY Downtown NYC!!,Edward,Manhattan,Private room,34.0,397.88
Charming UWS Treehouse Apt,Claire,Manhattan,Entire home/apt,57.5,441.0
Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Juhli,Brooklyn,Private room,15.0,42.88
CHARMING EAST VILLAGE 2 (or 1) BR,Mary D,Manhattan,Entire home/apt,18.428571428571427,0.75
Farmhouse Apartment in Williamsburg,Valerie,Brooklyn,Entire home/apt,13.0,23.52
Bright+Spacious Williamsburg Abode!,Larissa,Brooklyn,Entire home/apt,23.75,167.64000000000001
"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Eric,Manhattan,Private room,25.0,5.2
Beautiful 1 Bedroom Apt Park Slope,Jessica,Brooklyn,Entire home/apt,87.5,1.21
CHARMING CARROLL GARDENS APT.,Melissa,Brooklyn,Entire home/apt,63.333333333333336,29.069999999999997
Private Bedroom Brownstone Brooklyn,Alex,Brooklyn,Private room,2.3333333333333335,2.25
East Village Loft with Piano & Patio,Samir,Manhattan,Entire home/apt,70.66666666666667,87.77000000000001
Lower East Side Magic Room,Tony,Manhattan,Private room,95.0,120.99000000000001
**Fantastic Williamsburg Apt**,Luis Fernando,Brooklyn,Entire home/apt,70.0,0.99
West Harlem Home Base - Eco-Apt.,Henning,Manhattan,Entire home/apt,22.5,349.69
Charming Garden Apt in Park Slope,Stefano,Brooklyn,Entire home/apt,75.0,445.12
"Lovely, Modern, Garden Apartment",Jana,Brooklyn,Entire home/apt,63.333333333333336,54.510000000000005
Central Park 1BR sunny condo,Per,Manhattan,Entire home/apt,4.428571428571429,5.720000000000001
Cozy Garden Apartment  in Williamsburg,Adrienne,Brooklyn,Entire home/apt,4.5,31.360000000000003
SoHa comfort-by NW Central Park!,Elise,Manhattan,Private room,40.666666666666664,86.49000000000001
Cozy room in Upper West Side,Deda,Manhattan,Private room,109.0,109.2
Cozy Private Room in Apartment,Share,Manhattan,Private room,2.8333333333333335,43.52
The Cozy Brownstone Inn (discount)!,Naimah,Brooklyn,Entire home/apt,48.333333333333336,158.75
Prewar Penthouse w Private Terrace,Violetta,Manhattan,Entire home/apt,17.727272727272727,9.6
Designer 2.5 BR Loft in Carroll Gardens by Subway,Jenna,Brooklyn,Entire home/apt,125.0,142.04000000000002
Bright Beautiful Brooklyn,Jason,Brooklyn,Private room,41.666666666666664,0.6000000000000001
Unique spacious loft on the Bowery,Alicia,Manhattan,Entire home/apt,287.5,359.08
"Nice renovated apt, prime location!",Silvia,Manhattan,Entire home/apt,5.0,26.400000000000002
Brooklyn Writer's Nook,Joab,Brooklyn,Private room,14.0,23.03
Private Bedroom in Large NYC Apartment,Mary And Geoff,Manhattan,Private room,45.0,152.4
"Large, Sunny Room East Village NYC",Eyal,Manhattan,Private room,21.666666666666668,32.76
Great Large 3 BR/2 Bath Duplex with Private Patio!,Bruce,Manhattan,Entire home/apt,250.0,23.04
All That Jazz. Uptown style on Sugar Hill.,Kurt,Manhattan,Entire home/apt,83.33333333333333,13.76
Bright and lovely 1 bdrm apt in LES,Jennifer,Manhattan,Entire home/apt,5.0,18.06
Beautiful One Bed West Village - 4 Month Special,Ruperto,Manhattan,Entire home/apt,6.666666666666667,17.16
Gigantic Private Brooklyn Loft!,Ben,Brooklyn,Entire home/apt,229.0,25.0
Condo Apartment with laundry in unit,Thai,Bronx,Entire home/apt,3.0,1.4
1BR: See Central Park from Terrace!,Hudson,Manhattan,Entire home/apt,8.461538461538462,14.82
Private room in cozy Greenpoint,Vanessa,Brooklyn,Private room,19.666666666666668,10.44
Food & Music Dream Apartment in Williamsburg,Daniel,Brooklyn,Entire home/apt,48.75,35.4
French Garden cottage off Bedford,Patty,Brooklyn,Entire home/apt,169.0,45.56
Alcove Studio w/ outdoor Patio Deck,Amir,Manhattan,Entire home/apt,8.071428571428571,7.0200000000000005
Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,G & S,Manhattan,Entire home/apt,17.857142857142858,9.61
